bin,total_rewards,log_stakes,log_rewards
"(1072878.999, 2704794.139]",500000000.0,6.276194382351679,8.698970004336019
"(2704794.139, 6818952.87]",500000000.0,6.6777778545238595,8.698970004336019
"(6818952.87, 17191000.812]",750000000.0,7.079361326589164,8.8750612633917
"(17191000.812, 43339573.471]",500000000.0,7.480944798631105,8.698970004336019
"(43339573.471, 109261738.117]",750000000.0,7.882528270674298,8.8750612633917
"(109261738.117, 275455581.588]",500000000.0,8.28411174271716,8.698970004336019
"(275455581.588, 694440512.621]",500000000.0,8.68569521475818,8.698970004336019
"(694440512.621, 1750727368.782]",500000000.0,9.087278686799314,8.698970004336019
"(1750727368.782, 4413691690.066]",1000000000.0,9.4888621588404,9.0
"(4413691690.066, 11127189008.599]",1000000000.0,9.890445630881521,9.0
"(11127189008.599, 28052329869.745]",1372154823.0,10.292029102922678,9.137403116458987
"(28052329869.745, 70721654005.593]",1500000000.0,10.693612574963828,9.176091259055681
"(70721654005.593, 178293652203.236]",2485479616.0,11.095196047004974,9.39541020573894
"(178293652203.236, 449489295222.851]",3500000000.0,11.496779519046116,9.544068044350276
"(449489295222.851, 1133190239939.84]",5820698797.5,11.898362991087259,9.764975126519353
"(1133190239939.84, 2856842495566.592]",7440552950.0,12.299946463128402,9.871605211649419
"(2856842495566.592, 7202276155245.071]",10332369732.0,12.701529935169546,10.014199938509254
"(7202276155245.071, 18157382458749.69]",17772797634.0,13.10311340721069,10.249755795918785
"(18157382458749.69, 45775881214053.86]",29771113760.0,13.504696879251833,10.473795082237395
"(45775881214053.86, 115403820219330.22]",62659860934.0,13.906280351292976,10.796989426682561
"(115403820219330.22, 290940149441115.9]",139758067586.0,14.30786382333412,11.145376887091224
"(290940149441115.9, 733478063342654.0]",336972859230.0,14.709447295375265,11.527594922944585
"(733478063342654.0, 1849143442176500.0]",854752144878.0,15.111030767416407,11.931840199269757
"(1849143442176500.0, 4661804681876313.0]",2461811029818.0,15.51261423945755,12.391254713153774
"(4661804681876313.0, 1.1752697165766838e+16]",5327399838150.5,15.914197711498694,12.726515293177895
"(1.1752697165766838e+16, 2.962927451834575e+16]",13195772959176.0,16.315781183539837,13.120434834652537
"(2.962927451834575e+16, 7.469722873832018e+16]",34857614495320.0,16.71736465558098,13.54229766255113
"(7.469722873832018e+16, 1.8831632133720054e+17]",87225282429565.0,17.118948127622122,13.940642384338584
"(1.8831632133720054e+17, 4.747570623564952e+17]",204987100983141.5,17.52053159966327,14.311726533504073
