total_stakes,predicted_rewards
1000000.0,16720.895574
1326858.149261,21275.498128
1760552.548261,27070.728275
2336003.495863,34444.520402
3099545.27519,43826.8588
4112656.90739,55764.851124
5456912.332686,70954.631613
7240548.59843,90281.954418
9607180.91295,114873.84415
12747366.285776,146164.315502
16913946.837902,185977.994245
22442408.198044,236636.515722
29777892.206626,301093.905226
39511038.942188,383108.834608
52425544.006227,487463.799855
69561260.294124,620244.000409
92297925.094151,789192.182389
122466254.071091,1004160.137516
162495347.223743,1277683.185765
215608275.680882,1625711.141278
286081597.635375,2068538.38598
379589699.176215,2631987.285828
503661685.727642,3348913.957658
668287612.178451,4261124.191664
886722864.269413,5421811.251755
1176555458.592272,6898657.70802
1561122198.291127,8777782.176948
2071387710.795436,11168761.113682
2748437664.348819,14211018.489623
3646786912.67817,18081955.953469
4838768933.706812,23007297.565755
6420359992.081727,29274252.334279
8518906976.68543,37248262.090835
11303381144.814768,47394311.319879
14997983386.205008,60304041.568648
19900196478.473045,76730251.547888
26404737869.36476,97630794.7105
35035341621.07745,124224434.085883
46486928542.08336,158061911.405278
61681559970.19518,201116374.736853
81842680505.60858,255898437.692457
108593627586.263,325602579.596622
144088339720.68948,414293423.578413
191184787771.9404,527142754.928291
253675093670.0094,670731100.854166
336590865300.6983,853431457.507628
446608332591.1742,1085897540.364622
592585905626.6404,1381685029.063277
786277438018.1486,1758042033.04168
1043278626214.7474,2236914872.007194
1384282747143.2646,2846227820.81588
1836746843928.9841,3621511443.892038
2437102517997.31,4607974471.446697
3233689336590.196,5863140033.787935
4290647048434.3574,7460199979.14922
5693080001819.455,9492282873.711554
7553909594811.189,12077884561.592365
10022966504659.027,15367777954.357595
13299054786480.773,19553804977.193996
17645959220915.703,24880063352.146564
23413684793806.16,31657140547.775578
31066638472899.176,40280224912.49632
41221022427923.68,51252150097.15364
54694449529377.04,65212716544.8435
72571776077419.69,82975999857.5026
96292452494697.08,105577821583.58276
127766425304954.02,134336150567.36203
169527922617874.84,170927957013.87207
224939505652881.44,217487000822.50647
298462816166354.2,276728256471.9939
396017819881830.94,352106229983.4931
525459471562936.5,448016399820.5086
697210181949865.6,570051528249.1274
925099011668199.0,725327789316.102
1227475162505607.0,922899730784.0912
1628685422386513.0,1174288267494.1233
2161034525276773.0,1494152494770.8062
2867386270698704.5,1901144496992.9307
3804614840356800.5,2418996997358.651
5048184205728241.0,3077907272427.544
6698224352343151.0,3916298030963.5405
8887593567487602.0,4983057938334.916
1.1792575952343982e+16,6340392437062.15
1.5647075503151632e+16,8067451102001.078
2.0761449643464828e+16,10264943050328.635
2.75474986499115e+16,13061009542450.865
3.6551623075401896e+16,16618696219900.514
4.8498818946328056e+16,21145460705138.902
6.435105314848805e+16,26905269975218.8
8.538471928362416e+16,34233992937476.28
1.1329341060387283e+17,43558985786896.94
1.5032428511736538e+17,55424012216407.16
1.9945900273986883e+17,70520951639982.62
2.6465380322894477e+17,89730144414492.11
3.511580555473456e+17,114171726691230.45
4.659369276817792e+17,145270948360936.72
6.182322095363834e+17,184841282945288.34
8.203064453592252e+17,235190175780855.44
1.0884302919165306e+18,299253596937011.7
1.4441926027324017e+18,380767244985532.6
