total_stakes,total_rewards,log_stakes,log_rewards,median_stakes,median_rewards
1000000.0,500000000.0,6.0,8.698970004336019,1000000.0,499999999.99999994
4421918.0,500000000.0,6.645610684765149,8.698970004336019,4421918.000000002,499999999.99999994
1253983275.0,1000000000.0,9.098291744131341,9.0,1253983274.9999988,1000000000.0
1725011465.0,727869527.0,9.236791985884475,8.86205353757923,1725011465.0000005,727869527.0
4166713938.0,1000000000.0,9.619793685383458,9.0,4166713938.0000067,1000000000.0
12112898971.5,500000000.0,10.078514235578005,8.698970004336019,11981583965.367754,499999999.99999994
28940495423.5,1455743892.5,10.457447908565504,9.100615186129684,28671334567.467205,1260709966.4477031
159869282868.0,2911684532.0,11.203765026832915,9.464144319324603,159869282868.00018,2911684531.9999943
614907913212.0,3639437545.0,11.788810081989505,9.56103427101795,614907913211.9993,3639437544.999997
1565607249576.0,6551684361.0,12.194682823663973,9.816352966350353,1565607249575.9976,6551684360.999996
4405368128535.0,8734452637.5,12.643896639727704,9.941235694211086,4404500257655.569,8734452637.487339
12514999233600.0,14571276460.0,13.097430827348692,10.163497598115384,12514999233599.98,14571276459.999971
50204928355785.5,42226040309.5,13.700741196390474,10.625580350755488,50204332404363.17,42226039610.02192
151248992421739.5,113701869736.0,14.17968924389588,11.055767258393237,151247861860891.47,113701778632.67787
478625413705774.5,334137402674.0,14.679988980175358,11.523916198089736,478617947676575.5,334130559628.4934
2033742245284300.0,1453664227275.0,15.308295888132388,12.162463913161655,2033742143016369.0,1453663591297.0623
8226753524422875.0,5291838065475.0,15.915228485930655,12.72360654595638,8226753524422888.0,5291838065474.992
2.934748010204208e+16,20848390609530.0,16.467570816835398,13.319072535262901,2.9347480102042e+16,20848390609529.965
1.1682954866102771e+17,80355872050102.5,17.067552468235718,13.904957407704407,1.1682948660495931e+17,80344732232658.56
6.369167722548502e+17,470229245857923.0,17.804082685534777,14.672309636528027,6.369167722548499e+17,470229245857923.0
